modifier_id,description_clean
MOD_MO_TECH_HAPPINESS_BUILDING,+1 Happiness on Happiness Buildings.
MOD_MO_TECH_INFANTRY_STRENGTH,+3 Combat Strength for Infantry Units.
MOD_MO_TECH_INTERCEPT_RANGE,+1 Intercept Range for Fighter Units.
MOD_MO_TECH_MILITARY_BUILDING,+2 Production on Military Buildings.
MOD_MO_TECH_NAVAL_STRENGTH,+3 Combat Strength for Naval Units.
MOD_MO_TECH_PRODUCTION_BUILDING,+1 Production on Production Buildings.
MOD_MO_TECH_RANGED_STRENGTH,+3 Combat Strength for Ranged and Siege Units.
MOD_MO_TECH_SCIENCE_BUILDING,+1 Science on Science Buildings.
MOD_MO_TRADITION_SLOT,+1 Social Policy slot.
MOD_MO_UNLOCK_IDEOLOGIES,Unlocks Ideology Trees.
MOD_NEW_WORLD_RICHES_TREASURE_FLEET_MOVEMENT,+1 Movement for Treasure Convoys. Gold and Silver Resources are worth +1 Cargo for Treasure Convoys.
MOD_NGATU_II_CULTURE_WAREHOUSE_BUILDINGS,"+100% Influence towards the initiating and supporting the Befriend Independent Project, if the Independent Power is in Distant Lands. +100% Influence towards all City-State Actions if the City-State is in Distant Lands."
MOD_OCEAN_COMMAND,All Civilian and Support Units may enter deep Ocean Terrain.
MOD_PANTHEON_UNLOCK,Unlocks founding a Pantheon.
MOD_PLANES_POLITICOS_TRADITION_SLOT,+1 Tradition slot.
MOD_PLAN_OF_AYUTLA_GOLDEN_AGE,"Unlock an additional Celebration effect, +50% Influence towards initiating all Diplomatic Actions for 10 Turns."
MOD_PLAN_OF_IGUALA_GOLDEN_AGE,"Unlock an additional Celebration effect, +40% Production towards training Military Units for 10 Turns."
MOD_PLAN_OF_TUXTEPEC_GOLDEN_AGE,"Unlock an additional Celebration effect, +30% Science for 10 Turns."
MOD_PROMOTION_ARMY_TRUNG_NHI_ATTACK_DAMAGE,+3 Damage for Heroic Assault.
MOD_PROMOTION_ARMY_TRUNG_NHI_ATTACK_DAMAGE_FINAL,+10 Damage for Heroic Assault.
MOD_PROMOTION_COMMENDATION_MERIT,+1 Command Radius range.
MOD_QHAPAQ_NAN_AUTO_TREASURE_FLEET,Cities in Homelands with 3 Worked Mountains generate Treasure Convoys worth 2 Cargo each.
MOD_REFORMATION_BELIEF,Receive 1 additional Enhancer Belief.
MOD_ROUTE_STAATSEISENBAHN_GOLD,+2Gold Gold andProduction Production on Rural tiles with a Staatseisenbahn in your territory.
MOD_SAILING_EMBARKATION,Allows all standard Land Units to traverse Coast Terrain.
MOD_SAILING_EMBARKATION_NOT_TEHINA,Allows all standard Land Units to traverse Coast Terrain.
MOD_SENATUS_POPULUSQUE_ROMANUS_TRADITION_SLOTS,+1 Tradition slot.
MOD_SHERPA_MOUNTAIN_CLAIM,Sherpas can activate on a Mountain Te within 5 tiles of one of your Settlements' Palace or City Hall once every 5 turns. A path of tiles is claimed back to the Settlement and the Mountain Terrain is Improved immediately with a Highland Power Station.
MOD_SICILIAN_WARS_SETTLEMENT_CAP,+2 Settlement Limit.
MOD_SYNCRETISM,"Select an associated Civ's Units or Infrastructure, or Affirm your own Traditions."
MOD_TECH_AQ_CAMP_PRODUCTION,+1Production Production on Camps and Woodcutters.
MOD_TECH_AQ_FISHING_BOAT_FOOD,+1Food Food on Fishing Boats.
MOD_TECH_AQ_FLAT_FOOD,+1Food Food on Farms.
MOD_TECH_AQ_MINE_PRODUCTION,+1Production Production on Mines and Quarries.
MOD_TECH_AQ_PASTURE_FOOD,+1Food Food on Pastures.
MOD_TECH_AQ_PLANTATION_FOOD,+1Food Food on Plantations.
MOD_TECH_AQ_TRADE_RANGE_LAND,+5 Trade Range
MOD_TECH_AQ_WET_PRODUCTION,+1Production Production on Clay Pits.
MOD_TECH_EX_ARCHITECTURE_SCIENCE_VP,Grants 2 Innovation.
MOD_TECH_EX_ASTRONOMY_SCIENCE_VP,Grants 2 Innovation.
MOD_TECH_EX_CAMP_PRODUCTION,+1Production Production on Camps and Woodcutters.
MOD_TECH_EX_FISHING_BOAT_FOOD,+1Food Food on Fishing Boats.
MOD_TECH_EX_FOOD_FARM_FARMING,"+1 Food on Farms and Plantations in Farming Towns, Fishing Towns, and Fort Towns."
MOD_TECH_EX_GUNPOWDER_SCIENCE_VP,Grants 5 Innovation.
MOD_TECH_EX_METALLURGY_SCIENCE_VP,Grants 2 Innovation.
MOD_TECH_EX_METAL_CASTING_SCIENCE_VP,Grants 2 Innovation.
MOD_TECH_EX_MINE_PRODUCTION,+1Production Production on Clay Pits and Mines.
MOD_TECH_EX_NAVAL_AUTO_EXPLORE,All Tier 2 and Tier 3 Naval Units can use the Automate Exploration Action.
MOD_TECH_EX_NO_OCEAN_DAMAGE,All Naval Units can safely travel across deep Ocean Terrain without taking Damage.
MOD_TECH_EX_NO_OCEAN_DAMAGE_CIVILLIAN_SUPPORT,All Civilian and Support Units can safely travel across deep Ocean Terrain without taking Damage.
MOD_TECH_EX_NO_OCEAN_OBSTACLE,All Units ignore Movement penalties from deep Ocean Terrain.
MOD_TECH_EX_PASTURE_FOOD,"+1Food Food on Farms, Pastures, and Plantations."
MOD_TECH_EX_QUARRY_PRODUCTION,+1Production Production on Quarries.
MOD_TECH_EX_RELIC_SLOT_PAVILION,+1 Relic Slot on Pavilions
MOD_TECH_EX_SHIPBUILDING_SCIENCE_VP,Grants 2 Innovation.
MOD_TECH_EX_TRADE_RANGE_LAND,+5 Trade Range
MOD_TECH_MO_AERODYNAMICS_SCIENCE_VP,Grants 5 Innovation.
MOD_TECH_MO_ARMOR_SCIENCE_VP,Grants 2 Innovation.
MOD_TECH_MO_CAMP_PRODUCTION,+1Production Production on Camps.
MOD_TECH_MO_COMBUSTION_SCIENCE_VP,Grants 2 Innovation.
MOD_TECH_MO_ELECTRICITY_SCIENCE_VP,Grants 2 Innovation.
MOD_TECH_MO_EMBARKATION,Trade Units can enter deep Ocean Terrain. Settlements across deep Ocean can now serve as origin Settlements for Trade Routes.
MOD_TECH_MO_FISHING_BOAT_RESOURCE_FOOD,+1Food Food on Fishing Boats and Pastures.
MOD_TECH_MO_FLIGHT_CULTURE_VP,Settlements with an Aerodrome gain +3 Tourism on Unique Buildings.
MOD_TECH_MO_INDUSTRIALIZATION_CULTURE_VP_UI,Settlements connected by Rail gain +3 Tourism for each type of Unique Improvement in the Settlement.
MOD_TECH_MO_INDUSTRIALIZATION_SCIENCE_VP,Grants 2 Innovation.
MOD_TECH_MO_MINE_PRODUCTION,+1Production Production on Mines and Woodcutters.
MOD_TECH_MO_OIL_PRODUCTION,+1Production Production on Oil Rigs.
MOD_TECH_MO_PLANTATION_FOOD,+1Food Food on Farms and Plantations.
MOD_TECH_MO_QUARRY_PRODUCTION,+1Production Production on Clay Pits and Quarries.
MOD_TECH_MO_RADIO_SCIENCE_VP,Grants 2 Innovation.
MOD_TECH_MO_ROCKETRY_SCIENCE_VP,Grants 5 Innovation.
MOD_TECH_MO_SPECIALIST_HAPPINESS_MAINTENANCE,-1 Happiness Maintenance on Specialists.
MOD_TECH_MO_URBANIZATION_CITY_POP,+1 Population in every City
MOD_TECH_OCEAN_TRAVEL,All Naval Units may enter deep Ocean Terrain.
MOD_TECH_OCEAN_TRAVEL_EMBARKED,All Embarked Land Units may enter deep Ocean Terrain.
MOD_THJODVELDID_RELIC,Gain 2 Relics.
MOD_TONGIAKI_II_TRADE_ROUTE_RANGE,+10 Trade Route Naval Trade Route Range. +3 Gold and Science from Naval Trade Routes.
MOD_TOT_TRADITION_SLOT,+1 Tradition slot.
MOD_TOT_TRADITION_SLOT_TWO,+2 Tradition slots.
MOD_TRADITION_ABILITY_DE_FACTO_COMBAT,+3 Combat Strength for all Units in Distant Lands. Units gain +5 Healing.
MOD_TRADITION_ABILITY_DE_JURE_COMBAT,+3 Combat Strength for all Units in Homelands.
MONOPOLIES_MOD_RESOURCE_GOLD,+5 Gold and +1 Resource Capacity in Settlements with a Factory.
MONTHON_I_MOD_GOLD_PER_CITY_STATE,+3 Gold on the Palace for each City-State you are Suzerain of.
MONTHON_MOD_GOLD_PER_CITY_STATE,+5 Gold and +3 Culture on the Palace for each City-State you are Suzerain of.
MUD_BRICK_II_MOD_CARAVANSERAI_PRODUCTION,+2 Production on the Caravanserai in Settlements with a Gold Building and in Mining Towns and Trade Outposts.
MUD_BRICK_MOD_CARAVANSERAI_PRODUCTION,+1 Production on the Caravanserai in Settlements with a Gold Building and in Mining Towns and Trade Outposts.
NAPOLEON_ALT_MOD_CULTURE_ON_UNIT_DEFEAT,Enemy of the Coalitions
NAPOLEON_ALT_MOD_LAND_UNIT_MOVEMENT,Enemy of the Coalitions
NATIONAL_PRESTIGE_MOD_INFLUENCE_ENDEAVORS,+10% Influence towards initiating Diplomatic Actions per displayed Artifact while at War with a Leader with an opposing Ideology.
NAUKOGRAD_MOD_TOWN_SCIENCE_PER_SCIENCE_ATTRIBUTE,Towns gain Science equal to your Scientific Attribute. -5 Culture in Cities.
NEW_DEAL_MOD_CITY_GOLD_PENALTY,+30% Production towards constructing Wonders.
NEW_DEAL_MOD_WONDER_PRODUCTION_RATE,+30% Production towards constructing Wonders.
NGATU_MOD_CULTURE_WAREHOUSE_BUILDINGS,"+100% Influence towards the initiating and supporting the Befriend Independent Project, if the Independent Power is in Distant Lands."
NG_OMA_MOD_LAKE_AJACENT_UNIT_COMBAT_STRENGTH,+8 Combat Strength for Units that are on or adjacent to a Lake. +1 Movement for embarked Units.
NOUVEAU_RICHE_MOD_COST,+50% Food and Happiness Maintenance for Specialists.
NO_ETERNAL_ALLIES_I_NEGATIVE_GOLD,"+5% Food and Gold in Towns, but -5% Gold in the Capital for every Alliance."
NO_ETERNAL_ALLIES_NEGATIVE_GOLD,"+10% Food and Gold in Towns, but -5% Gold in the Capital for every Alliance."
OLIGARCHY_MOD_UNHAPPINESS,-6 Happiness in Settlements with unfilled Resource Capacity.
OPPRESSIVE_TARIFFS_MOD_GOLD,-1 Gold per Specialist.
ORATORY_MOD_DIPLOMACY_YIELD,+2 Influence per turn.
PEOPLES_ARMY_MOD_UNIT_PRODUCTION_RATE,"+25% Production towards training Land Military Units, but +1 Gold Maintenance for Land Military Units."
PIRATE_AQ_MOD_FREE_SETTLER,Gain 1 Settler for free.
PLAYER_DIPLOMACY_FARMERS_MARKET_INITIAL_PLAYER_ACCEPT,Share agricultural goods with another Leader.
PLAYER_DIPLOMACY_FARMERS_MARKET_SUPPORT,Share agricultural goods with another Leader.
PLAYER_DIPLOMACY_FARMERS_MARKET_TARGET_PLAYER_ACCEPT,Share agricultural goods with another Leader.
PLAYER_DIPLOMACY_FAVOR_ACCRUE_MOD,Increased the Relationship gained for supporting Diplomatic Actions by 25%.
PLAYER_DIPLOMACY_GINSING_AGREEMENT_INITIAL_PLAYER_ACCEPT,Ginseng Agreement
PLAYER_DIPLOMACY_GINSING_AGREEMENT_SUPPORT,Ginseng Agreement
PLAYER_DIPLOMACY_GINSING_AGREEMENT_TARGET_PLAYER_ACCEPT,Ginseng Agreement
POLICE_STATE_MOD_HAPPINESS_AT_WAR_IN_CITIES,+8 Happiness in Cities while at War.
PRATHETSARAT_MOD_CITY_STATE_PROJECT_EFFICIENCY,+20% Influence towards initiating Diplomatic Actions with City-States.
PRESERVATION_SOCIETIES_MOD_SCIENCE_PER_EPIC_GREAT_WORK,+3 Science from displayed Great Works.
PRIESTHOOD_MOD_CITY_TOWN_GOLD,+2 Gold in all Settlements.
PROCEEDINGS_RESOURCE_AND_GREATWORK_CITY_CULTURE_AND_SCIENCE,+4 Culture and Science in Cities with both a Great Work and a Resource slotted. Settlements receive +3 Production for each Factory Resource assigned to them.
PRODUCTIVE_FORCES_DETERMINISM_MOD_SCIENCE_PER_SCIENTIFIC_ATTRIBUTES,+3 Science from Specialists. -3 Gold in Towns.
PROGNOSIS_MOD_GOLD,+2 Science on Science Buildings in Infected Settlements but -4 Gold on Science Buildings.
PROGNOSIS_MOD_SCIENCE,+2 Science on Science Buildings in Infected Settlements but -4 Gold on Science Buildings.
PROJECTION_OF_FORCE_MOD_NAVAL_PRODUCTION,"+50% Production towards training Naval Units, but +1 Gold Maintenance for Naval Units."
PROLETARIAT_MOD_SPECIALIST_FOOD_PER_EXPANSIONIST_ATTRIBUTE,+4 Food from Specialists. -3 Happiness in Towns.
PROPAGANDA_MOD_GOLD_EQUAL_TO_ECON_ATTRIBUTE,Towns gain Gold equal to your Economic Attribute. -5 Culture in Cities.
PROSECUTE_APOSTATES_MOD_NO_ALTAR_HAPPINESS,+5 Happiness in Infected Settlements with a Commander stationed but -5 Happiness in Settlements with no Altar.
PROSECUTE_APOSTATES_MOD_PLAGUE_HAPPINESS,+5 Happiness in Infected Settlements with a Commander stationed but -5 Happiness in Settlements with no Altar.
PROVINCIAL_SCORN_MOD_UNHAPPINESS,-6 Happiness in Towns.
PUBLIC_WORKS_MOD_PROJECT_PRODUCTION,+30% Production towards completing Projects.
PURGED_OFFICER_CORP_COMBAT_PENALTY,-6 Combat Strength on all Military Units.
QAJAR_SYNCRETISM_HAPPINESS_UNDER_CAP,Waqāye'-e Ettefāqiya
QAJAR_SYNCRETISM_INLFLUENCE_UNDER_CAP,Waqāye'-e Ettefāqiya
RATIONALISM_MOD_CITY_FOLLOWS_RELIGION_GOLD,+15% Gold and Science in your own Cities that are converted to your Religion.
REBELLIOUS_COMMANDERS_MOD_HAPPINESS,-1 Happiness in all Cities for each Commander Promotion.
RECRUITMENT_SHORTFALLS_MOD_TOWN_FOOD,+2 Food in Towns but -15 Healing on all Units.
RECRUITMENT_SHORTFALLS_MOD_UNIT_HEALING,+2 Food in Towns but -15 Healing on all Units.
REGULARS_MOD_MELEE_PRODUCTION,+30% Production towards training Infantry and Ranged Units.
REIDI_GUDANNA_MOD_VOLCANO_ADJACENCY,All Buildings gain a +1 Culture Cultural and Production Adjacency from Volcanoes and Natural Wonders. (Natural Wonder Volcanoes do not count twice) +25% Gold towards purchasing Repairs.
REIGN_OF_TERROR_CULTURE_DISTRICTS,"+3 Culture on Quarters, but -25% Growth Rate in Cities."
RELIGIOUS_ESPIONAGE_MOD_HAPPINESS,+50% Influence towards Espionage Convert Settlement Espionage actions. -4 Happiness in Homelands Settlements.
RELIGIOUS_EXEMPTIONS_MOD_GOLD,-2 Gold per displayed Relic.
RELIGIOUS_MERCHANTS_MOD_HAPPINESS,+4 Gold in Settlements not following your Religion. -4 Happiness in Distant Lands Settlements.
RELIGIOUS_MOVEMENT_MOD_MISSIONARY_MOVEMENT,All Missionaries in your territory gain +1 Movement.
RELIGIOUS_ORDERS_MOD_CITY_FOLLOWS_RELIGION_CULTURE,+15% Culture and Happiness in your own Cities that are converted to your Religion.
RELIGIOUS_TOLERANCE_MOD_HAPPINESS,+8 Happiness in Settlements that do not follow your Religion. -2 Charges on new Missionaries.
RELIGIOUS_ZEAL_MOD_HAPPINESS,-8 Happiness in Settlements that do not follow your Religion. +2 Charges on new Missionaries.
RENAISSANCE_MOD_GREAT_WORK_CULTURE,+10% Production towards constructing Wonders. +2 Culture on displayed Great Works.
REPUBLIC_MOD_UNHAPPINESS,-6 Happiness in Settlements more than 9 tiles away from your Palace.
REVOLUTIONARY_TRIBUNAL_MOD_SC,-2 Settlement Limit.
RITES_AND_RITUALS_MOD_CITY_TOWN_HAPPINESS,+2 Happiness in all Settlements.
RIZAL_MOD_CELEBRATION_LENGTH,+50% Celebration duration.
SAHANSAH_II_MOD_UNIT_ABILITY,+3 Combat Strength for Units fighting in enemy territory. +10 Culture and Gold for every different Civilization you have captured a Settlement from.
SAHANSAH_MOD_UNIT_ABILITY,+3 Combat Strength for Units in enemy territory. +5 Culture and Gold for every different Civilization you have captured a Settlement from.
SAKDINA_MOD_HAPPINESS_PER_ALLIED_CITY_STATE,+2 Happiness and +2 Influence in Cities for each City-State you are Suzerain of.
SALES_AND_TRADE_II_MOD_RESOURCE_GOLD,+2 Gold and Science for each Resource assigned to Cities with at least 5 Specialists.
SALES_AND_TRADE_MOD_RESOURCE_GOLD,+1 Gold and Science for each Resource assigned to Cities with at least 5 Specialists.
SAN_LAK_MUEANG_I_MOD_INFLUENCE_PER_GOLD_BUILDING,+1 Influence from Gold Buildings.
SAN_LAK_MUEANG_MOD_INFLUENCE_PER_GOLD_BUILDING,+2 Influence from Gold Buildings.
SCHOLARS_MOD_WORKER_SCIENCE,+1 Science from Specialists. +1 Happiness Maintenance on Specialists.
SCORCHED_EARTH_MOD_PILLAGING_YIELDS_BUILDINGS,+3 Combat Strength for all Units when attacking. Land Units gain +25% yields and HP from Pillaging.
SEDEF_KAKMA_I_MOD_CULTURE_HAPPINESS_QUARTERS,+3 Culture on Quarters with at least 1 Happiness Building. +3 Happiness on Quarters with at least 1 Culture Building.
SEDEF_KAKMA_MOD_CULTURE_HAPPINESS_QUARTERS,+5 Culture on Quarters with at least 1 Happiness Building. +5 Happiness on Quarters with at least 1 Culture Building.
SHELL_TEMPERED_POTTERY_II_MOD_BUILDING_GOLD,All Buildings receive a +1 Gold adjacency for Resources.
SHELL_TEMPERED_POTTERY_MOD_BUILDING_GOLD_FOOD,"Food, Gold, and Warehouse Buildings receive a +1 Gold Adjacency for Resources."
SHUSEI_KOKUBO_II_MOD_MILITARY_BUILDING_COAST_ADJACENCY,+50% Production towards Military and Science Buildings. Military and Science Buildings receive an adjacency for Coast.
SIEGE_TRAIN_RESTORE_MOVEMENT,"When a unit destroys a Fortified District's defenses, all other Land Siege and Infantry Units have their Movement restored."
SOCIAL_SCIENCE_MOD_SCIENCE_PER_SPECIALIST,+3 Science from Specialists. +1 Food and Happiness Maintenance on Specialists.
SOLEYMANIYEH_PALACE_YIELD_CAPITAL_POP,+0.5 Influence for every Population in the Capital.
SPHERE_OF_INFLUENCE_MOD_CULTURE_ALLIANCES,Gain Culture equal to your Diplomatic Attribute for every Alliance you have.
STRATAGEMS_GREAT_WORKS_COMBAT,+5 Combat Strength for Infantry and Cavalry against other Land Units when you have at least 8 Great Works on display.
STRATAGEMS_I_GREAT_WORKS_COMBAT,+3 Combat Strength for Infantry and Cavalry against other Land Units when you have at least 4 Great Works on display.
STRATAGEMS_I_PILLAGE_IMPROVEMENTS_MODIFIER,+25% Yield and HP from Pillaging.
STRATAGEMS_PILLAGE_IMPROVEMENTS_MODIFIER,+50% Yield and HP from Pillaging.
STRATEGIC_RAILWAYS_MOD_CITY_PRODUCTION_RAILROAD,+20% Production towards constructing Buildings and Improvements in Cities with a Rail Station.
STRICT_CENSORSHIP_MOD_CULTURE,-10 Culture and Science in Cities.
STYLE_EMPIRE_I_MOD_CULTURE_ON_BUILDING_CREATED,Constructing a Building grants Culture equal to 15% of its Production cost. +2 Culture on Happiness Buildings and Wonders.
STYLE_EMPIRE_MOD_CULTURE_ON_BUILDING_CREATED,Constructing a Building grants Culture equal to 25% of its Production cost. +2 Culture on Happiness Buildings and Wonders.
SUFFRAGE_MOD_CULTURE_ON_SPECIALISTS_PER_CULTURAL_ATTRIBUTE,+3 Culture from Specialists. -3 Production in Towns.
SUPPRESS_LOCAL_TRADITIONS_MOD_UNHAPPINESS,-3 Happiness in Settlements you did not found.
SURVEY_MOD_RECON_MOVEMENT,Scouts gain +1 Movement and Sight.
SYSTEM_OF_IDEAS_MOD_CULTURE,+50% Culture towards researching Civics that unlock an Ideology but -50% Happiness towards Celebrations.
TAKUAKA_MOD_CITY_WAREHOUSE_BONUS,+1 Production on Fishing Boats in Cities. +2 Science on Fishing Boats on Reefs in all Settlements.
TARIFFS_MOD_TRADE_INCOME,"+50% Trade Income, but -3 Happiness in Cities."
TAX_FARMING_MOD_GOLD,-50% Gold in Towns.
THEIR_FINEST_HOUR_MOD_AIR_UNIT_PRODUCTION,+25% Production towards training Air Units. +5 Combat Strength for Air Units in your own territory.
TIMBUKTU_II_MOD_TRADE_BUILDING_WAREHOUSE_MINES,+3 Gold on Rough Terrain and Mines on Resources if there is at least 1 Gold Building in that Settlement.
TIMBUKTU_MOD_TRADE_BUILDING_WAREHOUSE_MINES,+2 Gold on Rough Terrain and Mines on Resources if there is at least 1 Gold Building in that Settlement.
TONGIAKI_MOD_TRADE_ROUTE_RANGE,+10 Trade Route Naval Trade Route Range.
TOOL_MAKING_MOD_PALACE_PRODUCTION,+1 Production and Science on the Palace.
TRADE_WINDS_IMPORTED_RESOURCE_GOLD,+1 Gold and Happiness for every imported Resource. +1 Movement for Merchants.
TRADITION_MO_ATTRIBUTE_CULTURAL_01_MOD_CULTURE_ON_APPEAL,+2 Culture on Appealing Terrain.
TRADITION_TRIAL_OF_TIME_YIELDS,"-1 Science, Culture, Gold, Food, Production, Influence, and Happiness per Age in all Settlements. -2 Combat Strength for all Units."
TRAIT_GB_MOD_BUILDING_CHEAPER_PURCHASE,"• +25%Gold towards purchasing Buildings and +25% Production towards constructing Buildings.
• It costs 50% more to convert Towns into Cities.
• +3 Science on Active Buildings adjacent to Coast.
• +30%Production towards constructing Battersea Power Station."
TRAIT_GB_MOD_BUILDING_PRODUCTION,"• +25%Gold towards purchasing Buildings and +25% Production towards constructing Buildings.
• It costs 50% more to convert Towns into Cities.
• +3 Science on Active Buildings adjacent to Coast.
• +30%Production towards constructing Battersea Power Station."
TRAIT_MOD_AQ_SHENGSHI_CULTURE_PER_IMPORTED_RESOURCE,"• +1 Gold and +1 Culture for every imported Resource, but -2 Science for every Trade Route.
• +1 Combat Strength for Land Units for every other Civilization you have a Trade Route with."
TRAIT_MOD_AQ_SHENGSHI_GOLD_PER_IMPORTED_RESOURCE,"• +1 Gold and +1 Culture for every imported Resource, but -2 Science for every Trade Route.
• +1 Combat Strength for Land Units for every other Civilization you have a Trade Route with."
TRAIT_MOD_AQ_SHENGSHI_SCIENCE_MALUS_PER_TRADE_ROUTE,"• +1 Gold and +1 Culture for every imported Resource, but -2 Science for every Trade Route.
• +1 Combat Strength for Land Units for every other Civilization you have a Trade Route with."
TRAIT_MOD_CITY_PROJECT_MORE_EXPENSIVE,"• +25%Gold towards purchasing Buildings and +25% Production towards constructing Buildings.
• It costs 50% more to convert Towns into Cities.
• +3 Science on Active Buildings adjacent to Coast.
• +30%Production towards constructing Battersea Power Station."
TRAIT_MOD_EX_SHENGSHI_CULTURE_PER_IMPORTED_RESOURCE,"• +2 Gold and +2 Culture for every imported Resource, but -4 Science for every Trade Route.
• +1 Combat Strength for Land Units for every other Civilization you have a Trade Route with."
TRAIT_MOD_EX_SHENGSHI_GOLD_PER_IMPORTED_RESOURCE,"• +2 Gold and +2 Culture for every imported Resource, but -4 Science for every Trade Route.
• +1 Combat Strength for Land Units for every other Civilization you have a Trade Route with."
TRAIT_MOD_EX_SHENGSHI_SCIENCE_MALUS_PER_TRADE_ROUTE,"• +2 Gold and +2 Culture for every imported Resource, but -4 Science for every Trade Route.
• +1 Combat Strength for Land Units for every other Civilization you have a Trade Route with."
TRAIT_MOD_NAVIGABLE_RIVER_RESOURCE_CAP,"• +2 Resource Capacity in Cities on Navigable Rivers.
• +1 Production in Cities on Navigable Rivers for every Resource assigned to them.
• Can generate Homelands Treasure Convoys on Navigable Rivers after completing the Kanta Civic.
• +30% Production towards constructing the Tomb of Askia."
TRAIT_MOD_SHENGSHI_COMBAT_STRENGTH,+1 Combat Strength for Land Units for every other Civilization you have a Trade Route with.
TRAIT_MOD_SHENGSHI_CULTURE_PER_IMPORTED_RESOURCE,"• +3 Gold and +3 Culture for every imported Resource, but -6 Science for every Trade Route.
• +1 GDP per turn for imported Resources assigned to Cities.
• +1 Combat Strength for Land Units for every other Civilization you have a Trade Route with.
• +30% Production towards constructing Chengde Mountain Resort."
TRAIT_MOD_SHENGSHI_GOLD_PER_IMPORTED_RESOURCE,"• +3 Gold and +3 Culture for every imported Resource, but -6 Science for every Trade Route.
• +1 GDP per turn for imported Resources assigned to Cities.
• +1 Combat Strength for Land Units for every other Civilization you have a Trade Route with.
• +30% Production towards constructing Chengde Mountain Resort."
TRAIT_MOD_SHENGSHI_SCIENCE_MALUS_PER_TRADE_ROUTE,"• +3 Gold and +3 Culture for every imported Resource, but -6 Science for every Trade Route.
• +1 GDP per turn for imported Resources assigned to Cities.
• +1 Combat Strength for Land Units for every other Civilization you have a Trade Route with.
• +30% Production towards constructing Chengde Mountain Resort."
TRAIT_MOD_SONGHAI_TOT_AQ_NAVIGABLE_RIVER_RESOURCE_CAP,"• +2 Resource Capacity in Cities on Navigable Rivers.
• +1 Production in Cities on Navigable Rivers for every Resource assigned to them.
• Can generate Homelands Treasure Convoys on Navigable Rivers after completing the Kanta Civic.
• +30% Production towards constructing the Tomb of Askia."
TRAIT_MOD_TOT_MING_TRADITION_SLOT,+1 Tradition Slot.
TRENCHWORKS_MOD_FORTIFIED_DISTRICT,+3 Combat Strength for Fortified Units and Districts.
TRIBUTE_MOD_GOLD,-10 Gold for each City-State you are Suzerain of.
TZOLKIN_I_MOD_HAPPINESS_BUILDING_SCIENCE,+2 Science on Happiness Buildings.
VASSALAGE_MOD_SUZERAINS_CULTURE,+3 Culture and Gold for every City-State you are Suzerain of.
VINICUNCA_ADJACENT_YIELDS,Vinicunca
WAKIA_I_MOD_GOLD_ON_TRADE_ROUTES,+2 Gold for every active Trade Route.
WAKIA_MOD_GOLD_ON_TRADE_ROUTES,+3 Gold for every active Trade Route.
WARTIME_ECONOMY_MOD_FACTORY_PURCHASE,+100% Gold towards purchasing Factories and Rail Stations while at War with a Leader with an opposing Ideology.
WARTIME_INNOVATION_MOD_SCIENCE,Training a Military Unit grants Science equal to 25% of the Unit's cost while at War with a Leader with an opposing Ideology.
WAR_HEROES_MOD_CULTURE,+5 Culture per Commander Level in the Capital while at War with a Leader with an opposing Ideology.
WEAK_BUREAUCRACY_MOD_YIELD,-8 Influence per turn.
WELFARE_STATE_MOD_TOWN_HAPPINESS_PER_POL_ATTRIBUTE,Towns gain Happiness equal to your Diplomatic Attribute. -5 Production in Cities.
YEOMANRY_MOD_FOOD_PRODUCTION_TOWNS,+4 Food and Production in Towns in Distant Lands.
