kind,name,row_type,ability_or_tradition_name,age,description_clean,syncretism_options,modifier_type,modifier_args
leader,"Ashoka, World Conqueror",Unique Ability,Devaraja,Apex,"• +1Production Production for every 5 excess Happiness in Cities.
• +10% Production in Settlements not founded by you.
• Declaring a Formal War grants a Celebration.
• +5 Combat Strength against Fortified Districts for all Units during a Celebration.","Chola, Hawai'i, Khmer, Maurya, Mughal, Nepal, Siam",ASHOKA_ALT_MOD_HAPPINESS_PRODUCTION_TYPE; ASHOKA_ALT_MOD_CAPTURED_SETTLEMENT_PRODUCTION_TYPE; ASHOKA_ALT_MOD_WAR_CELEBRATION_TYPE; ASHOKA_ALT_MOD_CONQUEROR_ABILITY_TYPE; ASHOKA_ALT_MOD_AGENDA_WITHOUT_REGRET_TYPE,YieldType=YIELD_PRODUCTION; Amount=1; Divisor=5; Tooltip=LOC_TRAIT_LEADER_ASHOKA_ALT_ABILITY_NAME; YieldType=YIELD_PRODUCTION; Percent=10; Tooltip=LOC_TRAIT_LEADER_ASHOKA_ALT_ABILITY_NAME; ModifierId=ASHOKA_CONQUEROR_MOD_ADJUST_UNIT_COMBAT_STRENGTH_MODIFIER; ModName=LOC_DIPLOMACY_AGENDA_WITHOUT_REGRET_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_WITHOUT_REGRET_DESC; WeightType=DIPLOMACY_AGENDA_COMPARE_NUM_OWNED_TILES; FirstMeetDelay=20; UpdateFreq=10; AwardTo1=DIPLOMACY_AGENDA_AWARD_HIGHEST; AwardAmtType1=DIPLOMACY_AGENDA_NEG_AMT_MEDIUM; AwardTo2=DIPLOMACY_AGENDA_AWARD_LOWEST; AwardAmtType2=DIPLOMACY_AGENDA_AMT_MEDIUM; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY
leader,"Ashoka, World Renouncer",Unique Ability,Dhammaraja,Apex,"• +1 Food in Cities for every 5 excess Happiness.
• +10% Food in all Settlements during a Celebration.
• Unique Buildings gain a +1 Happiness adjacency for all Improvements.","Chola, Hawai'i, Khmer, Maurya, Mughal, Nepal, Siam",ASHOKA_MOD_WILDCARD_UNIQUE_BUILDING_ADJACENCY_TO_IMPROVEMENTS_TYPE; ASHOKA_MOD_HAPPINESS_FOOD_TYPE; ASHOKA_MOD_CELEBRATION_FOOD_TYPE; ASHOKA_MOD_AGENDA_WITHOUT_SORROW_TYPE,ConstructibleAdjacency=AshokaUniqueBuildingAdjacencyToImprovements; Tooltip=LOC_TRAIT_LEADER_ASHOKA_ABILITY_NAME; YieldType=YIELD_FOOD; Amount=1; Divisor=5; Tooltip=LOC_TRAIT_LEADER_ASHOKA_ABILITY_NAME; YieldType=YIELD_FOOD; Percent=10; ModName=LOC_DIPLOMACY_AGENDA_WITHOUT_SORROW_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_WITHOUT_SORROW_DESC; WeightType=DIPLOMACY_AGENDA_COMPARE_YIELD_TYPE; FirstMeetDelay=20; UpdateFreq=10; AwardTo1=DIPLOMACY_AGENDA_AWARD_HIGHEST; AwardAmtType1=DIPLOMACY_AGENDA_AMT_MEDIUM; Arg1=YIELD_HAPPINESS; AwardTo2=DIPLOMACY_AGENDA_AWARD_LOWEST; AwardAmtType2=DIPLOMACY_AGENDA_NEG_AMT_MEDIUM; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY
leader,Augustus,Unique Ability,Imperium Maius,Apex,"• +2 Production in the Capital for every Town.
• Can purchase Culture Buildings in Towns with any Focus.
• +15% Gold towards purchasing Buildings in Towns. Doubled if that Building is present in your Capital.","Abbasid, Bulgaria, Carthage, Egypt, French Empire, Prussia, Rome, Spain",AUGUSTUS_MOD_CAPITAL_PRODUCTION_PER_TOWN_TYPE; AUGUSTUS_MOD_TOWN_PURCHASE_RATE_TYPE; AUGUSTUS_MOD_TOWN_PURCHASE_RATE_SAME_BUILDING_IN_CAPITAL_TYPE; AUGUSTUS_MOD_TOWN_CULTURE_BUILDING_TYPE; AUGUSTUS_MOD_AGENDA_RESTITUTOR_ORBIS_TYPE,YieldType=YIELD_PRODUCTION; Amount=2; Cities=false; Towns=true; Tooltip=LOC_TRAIT_LEADER_AUGUSTUS_ABILITY_NAME; ConstructibleClass=BUILDING; Percent=15; Tooltip=LOC_TRAIT_LEADER_AUGUSTUS_ABILITY_NAME; PurchaseDiscountReason=CAPITAL_HAS_SAME_BUILDING; Percent=15; Tooltip=LOC_TRAIT_LEADER_AUGUSTUS_ABILITY_NAME; ConstructibleTag=CULTURE; Tooltip=LOC_TRAIT_LEADER_AUGUSTUS_ABILITY_NAME; ModName=LOC_DIPLOMACY_AGENDA_RESTITUTOR_ORBIS_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_RESTITUTOR_ORBIS_DESC; WeightType=DIPLOMACY_AGENDA_COMPARE_NUM_CITIES_TOWNS; FirstMeetDelay=20; UpdateFreq=10; AwardTo1=DIPLOMACY_AGENDA_AWARD_HIGHER; AwardAmtType1=DIPLOMACY_AGENDA_AMT_SMALL; AwardTo2=DIPLOMACY_AGENDA_AWARD_HIGHER; AwardAmtType2=DIPLOMACY_AGENDA_NEG_AMT_SMALL; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY
leader,Benjamin Franklin,Unique Ability,The First American,Apex,"• +1 Science per Age on Production and Science Buildings in Cities.
• +5% Production towards constructing Buildings for active Endeavors you have started or supported.
• +2 Science per Age from active Endeavors you started or supported.
• Can have two Endeavors of the same type active at a time.","America, French Empire, Great Britain, Greece, Norman, Rome, Spain",FRANKLIN_MOD_PRODUCTION_BUILDING_RATE_PER_NUM_ACTIVE_DIPLOMATIC_ACTIONS_TYPE; FRANKLIN_MOD_PRODUCTION_BUILDING_SCIENCE_TYPE; FRANKLIN_MOD_SCIENCE_BUILDING_SCIENCE_TYPE; FRANKLIN_MOD_DIPLO_EVENT_SCIENCE_TYPE; FRANKLIN_MOD_EXTRA_SINGLE_INSTANT_DIPLO_ACTIONS_TYPE; FRANKLIN_MOD_AGENDA_CIVIC_VIRTUE_TYPE; FRANKLIN_MOD_AGENDA_CIVIC_VIRTUE_DESCRIPTION_TYPE,Percent=5; ConstructibleClass=BUILDING; DiplomaticActionGroup=DIPLOMACY_ACTION_GROUP_ENDEAVOR; CountOnlyStartedOrSupportedActions=True; Tag=PRODUCTION; YieldType=YIELD_SCIENCE; Amount=1; Tooltip=LOC_TRAIT_LEADER_BENJAMIN_FRANKLIN_ABILITY_NAME; Tag=SCIENCE; YieldType=YIELD_SCIENCE; Amount=1; Tooltip=LOC_TRAIT_LEADER_BENJAMIN_FRANKLIN_ABILITY_NAME; ActionGroupType=DIPLOMACY_ACTION_GROUP_ENDEAVOR; YieldType=YIELD_SCIENCE; Amount=2; Tooltip=LOC_TRAIT_LEADER_BENJAMIN_FRANKLIN_ABILITY_NAME; ModName=LOC_DIPLOMACY_EXTRA_SINGLE_INSTANCE_NAME; Tooltip=LOC_DIPLOMACY_EXTRA_SINGLE_INSTANCE_DESC; Modifier1Type=DIPLOMACY_BASIC_MODIFIER_VALUE_EXTRA_SINGLE_INSTANCE_ENDEAVOR; Modifier1Value=1.0; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY; ModName=LOC_DIPLOMACY_AGENDA_CIVIC_VIRTUE_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_CIVIC_VIRTUE_DESC; Modifier1Type=DIPLOMACY_BASIC_MODIFIER_VALUE_CIVIC_VIRTUE; Modifier1Value=1.0; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY; ModName=LOC_DIPLOMACY_AGENDA_CIVIC_VIRTUE_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_CIVIC_VIRTUE_DESC; WeightType=DIPLOMACY_AGENDA_JUST_DESCRIPTION; FirstMeetDelay=200; UpdateFreq=100; AwardTo1=DIPLOMACY_AGENDA_AWARD_IGNORE; AwardAmtType1=DIPLOMACY_AGENDA_AMT_SMALL; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY
leader,Catherine the Great,Unique Ability,Star of the North,Apex,"• +2 Culture per Age on displayed Great Works.
• Buildings and Wonders with Great Work slots gain 1 additional slot.
• Cities settled in Tundra gain Science equal to 25% of their Culture per turn.","Bulgaria, Greece, Mongolia, Norman, Prussia, Rome, Russia",CATHERINE_MOD_GREAT_WORK_CULTURE_TYPE; CATHERINE_MOD_CONSTRUCTIBLE_GREAT_WORK_SLOTS_TYPE; CATHERINE_MOD_CITY_SCIENCE_TYPE; CATHERINE_MOD_AGENDA_DUSHA_TYPE,YieldType=YIELD_CULTURE; Amount=2; Tooltip=LOC_TRAIT_LEADER_CATHERINE_ABILITY_NAME; Amount=1; SlotType=GREATWORKSLOT_ANY; FromYieldType=YIELD_CULTURE; ToYieldType=YIELD_SCIENCE; Percent=25; Tooltip=LOC_TRAIT_LEADER_CATHERINE_ABILITY_NAME; ModName=LOC_DIPLOMACY_AGENDA_DUSHA_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_DUSHA_DESC; WeightType=DIPLOMACY_AGENDA_COMPARE_NUM_GREAT_WORKS; FirstMeetDelay=20; UpdateFreq=10; AwardTo1=DIPLOMACY_AGENDA_AWARD_HIGHEST; AwardAmtType1=DIPLOMACY_AGENDA_NEG_AMT_MEDIUM; AwardTo2=DIPLOMACY_AGENDA_AWARD_LOWEST; AwardAmtType2=DIPLOMACY_AGENDA_AMT_MEDIUM; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY
leader,Charlemagne,Unique Ability,Father of Europe,Apex,"• Military and Science Buildings receive a +1 Happiness adjacency for Fortifications.
• Gain 2 free Cavalry Units, once unlocked, when entering a Celebration.
• +5 Combat Strength for Cavalry Units during a Celebration.","Bulgaria, French Empire, Greece, Norman, Prussia, Rome, Spain",CHARLEMAGNE_MOD_MILITARY_BUILDING_ADJACENCY_TYPE; CHARLEMAGNE_MOD_SCIENCE_BUILDING_ADJACENCY_TYPE; CHARLEMAGNE_MOD_UNITS_ON_GOLDEN_AGE_TYPE; CHARLEMAGNE_MOD_CAVALRY_ABILITY_TYPE; CHARLEMAGNE_MOD_AGENDA_THE_GOLDEN_SHEPHERD_TYPE,ConstructibleAdjacency=CharlemagneMilitaryBuildingHappiness; Tooltip=LOC_TRAIT_LEADER_CHARLEMAGNE_ABILITY_NAME; ConstructibleAdjacency=CharlemagneScienceBuildingHappiness; Tooltip=LOC_TRAIT_LEADER_CHARLEMAGNE_ABILITY_NAME; UnitTag=UNIT_CLASS_CAVALRY; Amount=2; AllowUniqueOverride=true; AbilityType=ABILITY_CHARLEMAGNE_CAVALRY; ModName=LOC_DIPLOMACY_AGENDA_THE_GOLDEN_SHEPHERD_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_THE_GOLDEN_SHEPHERD_DESC; WeightType=DIPLOMACY_AGENDA_COMPARE_GOLDEN_AGES; FirstMeetDelay=20; UpdateFreq=10; AwardTo1=DIPLOMACY_AGENDA_AWARD_HIGHEST; AwardAmtType1=DIPLOMACY_AGENDA_AMT_MEDIUM; AwardTo2=DIPLOMACY_AGENDA_AWARD_LOWEST; AwardAmtType2=DIPLOMACY_AGENDA_NEG_AMT_MEDIUM; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY
leader,Confucius,Unique Ability,Keju,Apex,"• +25% Growth Rate in Cities.
• +2 Science from Specialists.","Han, Ming, Mongolia, Qing",CONFUCIUS_MOD_CITY_GROWTH_TYPE; CONFUCIUS_MOD_WORKER_SCIENCE_TYPE; CONFUCIUS_MOD_AGENDA_GUANXI_TYPE,Percent=25; Tooltip=LOC_TRAIT_LEADER_CONFUCIUS_ABILITY_NAME; YieldType=YIELD_SCIENCE; Amount=2; Tooltip=LOC_TRAIT_LEADER_CONFUCIUS_ABILITY_NAME; ModName=LOC_DIPLOMACY_AGENDA_GUANXI_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_GUANXI_DESC; WeightType=DIPLOMACY_AGENDA_COMPARE_DISTRICT_SPECIALISTS; FirstMeetDelay=20; UpdateFreq=10; AwardTo1=DIPLOMACY_AGENDA_AWARD_HIGHEST; AwardAmtType1=DIPLOMACY_AGENDA_AMT_MEDIUM; AwardTo2=DIPLOMACY_AGENDA_AWARD_LOWEST; AwardAmtType2=DIPLOMACY_AGENDA_NEG_AMT_SMALL; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY
leader,Edward Teach,Unique Ability,Blackbeard,Apex,"• All Naval Units gain the Pirate Ability, allowing them to cross borders of other Civilizations, Plunder Trade Routes from non-Allied Civilizations, and attack Units of non-Allied Civilizations without declaring War.
• Defeating any Naval Unit with your own Naval Units provides Gold equal to 50% of its Combat Strength and captures that Unit under your control.
• +1 Gold Maintenance for Naval Units.","Aksum, Carthage, French Empire, Great Britain, Iceland, Republic of Pirates, Spain",EDWARD_TEACH_MOD_ALL_NAVAL_UNITS_PIRATES_TYPE; EDWARD_TEACH_MOD_ENTER_FOREIGN_MOD_ADJUST_UNIT_ENTER_FOREIGN_LANDS_TYPE; EDWARD_TEACH_MOD_PLUNDER_TRADE_ROUTES_BETWEEN_OTHER_CIVS_TYPE; EDWARD_TEACH_MOD_GOLD_KILLS_TYPE; EDWARD_TEACH_MOD_CAPTURE_TYPE; EDWARD_TEACH_MOD_NAVAL_MAINTENANCE_TYPE; EDWARD_TEACH_MOD_AGENDA_TYPE,Privateer=true; Enter=true; CanPlunder=true; ModifierId=EDWARD_TEACH_MOD_GOLD_KILLS_MODIFIER; CanCapture=true; Amount=-1; UnitTag=UNIT_CLASS_NAVAL; Tooltip=LOC_TRAIT_LEADER_EDWARD_TEACH_ABILITY_NAME; ModName=LOC_DIPLOMACY_AGENDA_EDWARD_TEACH_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_EDWARD_TEACH_DESC; WeightType=DIPLOMACY_AGENDA_COMPARE_NUM_UNIT_TAGS; FirstMeetDelay=20; UpdateFreq=10; AwardTo1=DIPLOMACY_AGENDA_AWARD_HIGHEST; AwardAmtType1=DIPLOMACY_AGENDA_AMT_SMALL; Arg1=UNIT_CLASS_NAVAL; AwardTo2=DIPLOMACY_AGENDA_AWARD_LOWEST; AwardAmtType2=DIPLOMACY_AGENDA_NEG_AMT_SMALL; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY
leader,"Friedrich, Baroque",Unique Ability,Hohenfriedberger Marsch,Apex,"• Gain a Great Work when you capture a Settlement for the first time.
• +1 Culture per Age on displayed Great Works.
• Gain an Infantry Unit when you complete a Civic Mastery or construct a Culture Building.","Egypt, French Empire, Norman, Prussia, Rome, Spain",FRIEDRICH_ALT_MOD_GREATWORK_TYPE; FRIEDRICH_ALT_MOD_INFANTRY_CONSTRUCT_CULTURE_TYPE; FRIEDRICH_ALT_MOD_INFANTRY_CIVIC_TYPE; FRIEDRICH_ALT_MOD_GREAT_WORK_CULTURE_TYPE; FRIEDRICH_ALT_MOD_AGENDA_BAROQUE_TYPE,Amount=1; AllowUniqueOverride=true; UnitTag=UNIT_CLASS_INFANTRY; Amount=1; SystemType=SYSTEM_CULTURE; UnitTag=UNIT_CLASS_INFANTRY; AllowUniqueOverride=true; Amount=1; Depth=2; YieldType=YIELD_CULTURE; Amount=1; Tooltip=LOC_TRAIT_LEADER_FRIEDRICH_ALT_ABILITY_NAME; ModName=LOC_DIPLOMACY_AGENDA_BAROQUE_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_BAROQUE_DESC; WeightType=DIPLOMACY_AGENDA_COMPARE_BAROQUE; FirstMeetDelay=10; UpdateFreq=10; AwardTo1=DIPLOMACY_AGENDA_AWARD_ALL; AwardAmtType1=DIPLOMACY_AGENDA_AMT_SMALL; AwardTo2=DIPLOMACY_AGENDA_AWARD_ALL; AwardAmtType2=DIPLOMACY_AGENDA_AMT_CUSTOM; AwardAmt2=-1; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY
leader,"Friedrich, Oblique",Unique Ability,Berlin Academy,Apex,"• Army Commanders start with the Merit Commendation, granting them +1 Command Radius.
• Gain an Infantry Unit when you complete a Technology Mastery or construct a Science Building.
• +2 Science per Age for each Commendation earned by your Commanders.","Egypt, French Empire, Norman, Prussia, Rome, Spain",FRIEDRICH_MOD_COMMANDER_COMMENDATION_TYPE; FRIEDRICH_MOD_COMMENDATION_SCIENCE_YIELD_TYPE; FRIEDRICH_MOD_INFANTRY_CONSTRUCT_SCIENCE_TYPE; FRIEDRICH_MOD_INFANTRY_TECH_TYPE; FRIEDRICH_MOD_AGENDA_TO_ARMS_TYPE,UnitPromotionType=PROMOTION_COMMENDATION_ARMY_MERIT; UnitPromotionDisciplineType=DISCIPLINE_ARMY_COMMENDATION_MERIT; YieldType=YIELD_SCIENCE; Amount=2; CommendationsOnly=true; AllowUniqueOverride=true; UnitTag=UNIT_CLASS_INFANTRY; Amount=1; SystemType=SYSTEM_TECH; UnitTag=UNIT_CLASS_INFANTRY; AllowUniqueOverride=true; Amount=1; Depth=2; ModName=LOC_DIPLOMACY_AGENDA_TO_ARMS_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_TO_ARMS_DESC; WeightType=DIPLOMACY_AGENDA_COMPARE_NUM_COMBAT_UNITS; FirstMeetDelay=20; UpdateFreq=10; AwardTo1=DIPLOMACY_AGENDA_AWARD_LOWEST; AwardAmtType1=DIPLOMACY_AGENDA_NEG_AMT_MEDIUM; AwardTo2=DIPLOMACY_AGENDA_AWARD_HIGHEST; AwardAmtType2=DIPLOMACY_AGENDA_AMT_SMALL; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY
leader,Genghis Khan,Unique Ability,Chosen of Tengri,Apex,"• +3 Combat Strength for Cavalry Units, or +5 when in an Army Command Radius.
• Army Commanders have +1 Movement even when no Units are packed into them.
• Once per Age, Army Commanders can use the Convert Independents Action to convert adjacent Independent Military Units to your control.","Assyria, Bulgaria, Mongolia, Mughal, Achaemenid Persia, Prussia",GENGHIS_KHAN_ARMY_COMMANDER_ABILITY_TYPE; GENGHIS_KHAN_MOD_AGENDA_TUMEN_TYPE; GENGHIS_KHAN_CAVALRY_COMBAT_STRENGTH_TYPE,AbilityType=ABILITY_GENGHIS_KHAN_ARMY_COMMANDER; ModName=LOC_DIPLOMACY_AGENDA_TUMEN_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_TUMEN_DESC; WeightType=DIPLOMACY_AGENDA_COMPARE_NUM_UNIT_TAGS; FirstMeetDelay=20; UpdateFreq=10; AwardTo1=DIPLOMACY_AGENDA_AWARD_LOWEST; AwardAmtType1=DIPLOMACY_AGENDA_AMT_MEDIUM; Arg1=UNIT_CLASS_CAVALRY; AwardTo2=DIPLOMACY_AGENDA_AWARD_HIGHEST; AwardAmtType2=DIPLOMACY_AGENDA_NEG_AMT_SMALL; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY; AbilityType=ABILITY_GENGHIS_KHAN_NO_COMMAND_RADIUS_COMBAT
leader,Gilgamesh,Unique Ability,"Once Mortal, Twice Divine",Apex,"• +2 War Support when in only one Alliance.
• When one of your Military Units defeats an enemy Unit, gain Influence equal to 50% of the defeated Unit's Combat Strength.
• All basic Endeavors are automatically unlocked. Endeavors with Allies don’t count against the limit of having one Endeavor of a given type active at a time. Allies can support your Endeavors for free.","Abbasid, Assyria, Chola, French Empire, Norman, Ottomans, Achaemenid Persia",GILGAMESH_SINGLE_ALLY_WAR_SUPPORT_TYPE; GILGAMESH_INFLUENCE_TYPE; GILGAMESH_ALLIES_CAN_SUPPORT_ENDEAVORS_FOR_FREE_TYPE; GILGAMESH_ENDEAVORS_WITH_ALLIES_HAVE_NO_LIMIT_PER_TYPE_TYPE; GILGAMESH_MOD_ULOCK_ALL_ENDEAVORS_TYPE; GILGAMESH_MOD_AGENDA_ALLY_OF_ENKIDU_TYPE,"ActionType=DIPLOMACY_ACTION_DECLARE_WAR; Amount=2; ModifierId=GILGAMESH_INFLUENCE_MODIFIER; ResponseType=DIPLOMACY_RESPONSE_SUPPORT; Percent=100; ApplyToAlliesOnly=true; Value=true; ActionType=DIPLOMACY_ACTION_RESEARCH_COLLABORATION, DIPLOMACY_ACTION_CULTURAL_EXCHANGE, DIPLOMACY_ACTION_MINOR_TRADE, DIPLOMACY_ACTION_LOCAL_FESTIVALS, DIPLOMACY_ACTION_FARMERS_MARKET, DIPLOMACY_ACTION_MILITARY_AID; ModName=LOC_DIPLOMACY_AGENDA_ALLY_OF_ENKIDU_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_ALLY_OF_ENKIDU_DESC; WeightType=DIPLOMACY_AGENDA_COMPARE_NUM_STARTED_OR_SUPPORTED_ENDEAVORS_AND_ACTIVE_ALLIANCES; Arg1=DIPLOMACY_ACTION_GROUP_ENDEAVOR; AwardTo1=DIPLOMACY_AGENDA_AWARD_HIGHEST; AwardAmtType1=DIPLOMACY_AGENDA_AMT_MEDIUM; AwardTo2=DIPLOMACY_AGENDA_AWARD_FOR_EACH; AwardAmtType2=DIPLOMACY_AGENDA_NEG_AMT_SMALL; FirstMeetDelay=1; UpdateFreq=10; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY"
leader,Harriet Tubman,Unique Ability,Combahee Raid,Apex,"• +100% Influence towards initiating Espionage Actions. Gain a Migrant in the Capital whenever you complete an Espionage Action without being detected.
• Gain 5 War Support on all Wars declared against you.
• Vegetated Terrain does not end Unit Movement.","Aksum, America, Buganda, Egypt, Inca, Songhai",HARRIET_TUBMAN_MOD_ADJUST_ESPIONAGE_TYPE; HARRIET_TUBMAN_MOD_ESPIONAGE_MIGRANT_TYPE; HARRIET_TUBMAN_MOD_WAR_SUPPORT_TYPE; HARRIET_TUBMAN_MOD_IGNORE_VEGETATION_TYPE; HARRIET_TUBMAN_MOD_AGENDA_VERACITY_TYPE,ActionGroupType=DIPLOMACY_ACTION_GROUP_ESPIONAGE; Percent=100; UnitType=UNIT_MIGRANT; ActionType=DIPLOMACY_ACTION_DECLARE_WAR; OnlyWhenTarget=true; Amount=5; FeatureClassTypes=FEATURE_CLASS_VEGETATED; ModName=LOC_DIPLOMACY_AGENDA_VERACITY_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_VERACITY_DESC; AwardAmtTypeFormal=DIPLOMACY_AGENDA_AMT_MEDIUM; AwardAmtTypeSurprise=DIPLOMACY_AGENDA_NEG_AMT_MEDIUM; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY
leader,Hatshepsut,Unique Ability,God's Wife of Amun,Apex,"• +1 Culture per Age for every unique Resource.
• +15% Production towards constructing Buildings and Wonders in Cities adjacent to Navigable Rivers.","Abbasid, Aksum, Buganda, Carthage, Egypt, Mughal, Songhai",HATSHEPSUT_MOD_CULTURE_FROM_RESOURCES_TYPE; HATSHEPSUT_MOD_BUILDING_PRODUCTION_RIVER_TYPE; HATSHEPSUT_MOD_AGENDA_WONDERS_OF_ITERU_TYPE,YieldType=YIELD_CULTURE; Amount=1; Percent=15; Tooltip=LOC_TRAIT_LEADER_HATSHEPSUT_ABILITY_NAME; ModName=LOC_DIPLOMACY_AGENDA_WONDERS_OF_ITERU_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_WONDERS_OF_ITERU_DESC; WeightType=DIPLOMACY_AGENDA_COMPARE_NUM_WONDERS; FirstMeetDelay=20; UpdateFreq=10; AwardTo1=DIPLOMACY_AGENDA_AWARD_HIGHER; AwardAmtType1=DIPLOMACY_AGENDA_NEG_AMT_MEDIUM; AwardTo2=DIPLOMACY_AGENDA_AWARD_LOWER; AwardAmtType2=DIPLOMACY_AGENDA_AMT_MEDIUM; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY
